person_id,name
31,Thomas Jeffrey Hanks
31,Том Хэнкс
31,توم هانكس
31,トム・ハンクス
31,톰 행크스
31,ทอม แฮงส์
31,汤姆·汉克斯
31,Том Генкс
31,Том Хенкс
31,Томас Джеффрі Генкс
12898,Timothy Allen Dick
12898,Timothy Dick
7167,Mr. Warmth
12900,Wally Shawn
12900,Wallace Michael Shawn
8873,"Anne Hampton ""Annie"" Potts"
8873,Anne Hampton Potts
12133,Laura Elizabeth Metcalf
12133,"Laura Elizabeth ""Laurie"" Metcalf"
8655,Ronald Lee Ermey
8655,Lee Emery
8655,R. Lee Emrey
8655,Lee Ermey
8655,R. Lee Ermy
12903,Sarah Rayne
37221,Penn Fraser Jillette
37221,Penn & Teller
2157,罗宾·威廉姆斯
2157,روبن ويليامز
2157,ロビン・ウィリアムズ
2157,Робин Уильямс
2157,로빈 윌리엄스
2157,โรบิน วิลเลียมส์
2157,羅賓·威廉斯
205,克尔斯滕·邓斯特
205,Кирстен Данст
205,Кірстен Данст
205,克斯汀·鄧斯特
205,เคียร์สเต็น ดันสต์
205,キルスティン・ダンスト
205,커스틴 던스트
205,كيرستين دانست
58563,David Alan Greir
58563,David Allan Grier
58563,D.A.G.
58563,DAG
1276,Patty Clarkson
1276,Patricia Davies Clarkson
51551,Jim Handy
51551,Janes Handy
53715,Annabelle Kershew
53715,Anabel Kershaw
1379424,Daryl Henriquez
25389,Peter Bryant
25389,Peter James Bryant
15831,Jack Beanstalk
15831,Dr. Frankenwelker
15831,Frank W. Welker
15831,Franklin Welker
15831,Tom Welker
3151,Джек Леммон
6837,Walter Matuschanskayasky
6837,Уолтер Мэттау
16523,Oliver Burgess Meredith
7166,Kevin Elliot Pollak
4443,Chris McDonald
3911,John Caroll Lynch
3911,John Lynch
9780,Angela Evelyn Bassett
51359,Lela Rochon Quinones
51359,Lela Rochon Fuqua
34,Michael T. Williamson
34,Mykel T. Williamson
34,Mikel T. Williamson
10814,Уэсли Снайпс
49002,Donald Adeosun Faison
4808,Giancarlo Giuseppe Alessandro Esposito
519,Martin Hayter Short
519,Jiminy Glick
519,มาร์ติน ชอร์ต
14592,B.D. Wong
14592,Bradley Darryl Wong
14592,Bradd D. Wong
14592,Bradd Wong
24358,Lori Alan Denniberg
1158,Аль Пачино
1158,آل باتشينو
1158,艾尔·帕西诺
1158,อัล ปาชิโน
1158,アル・パチーノ
1158,알 파치노
380,Robert DeNiro
380,Robert Anthony De Niro Jr.
380,Bobby DeNiro
380,Роберт Де Ниро
380,روبرت دي نيرو
380,ロバート・デ・ニーロ
380,罗伯特·德尼罗
380,รอเบิร์ต เดอ นิโร
380,로버트 드 니로
3197,Thomas Sizemore
15851,Amy Frederica Brenneman
524,나탈리 포트만
524,Наталі Портман
524,Натали Портман
524,Neta-Lee Hershlag
524,納塔莉波曼
524,Natalie Hershlag
524,ناتالي بورتمان
524,ナタリー・ポートマン
524,娜塔莉·波特曼
524,นาตาลี พอร์ตแมน
31004,Tone-Lōc
31004,Tone Lõc
5587,Hank Tarantula
5587,Hank Nefarious
5587,Scary Connelly
5587,Ernie Boo-Nick
5587,Shanked Azaria
5587,Scare Ya' Hank Azaria
5587,Hockey Mom Azaria
5587,Hellacious Hank Azaria
5587,Hack Azaria
5587,Blood Bank Azaria
5587,Angst Azaria
5587,Henry Albert Azaria
15853,Wesley Studie
11160,Denni Trekho
11160,Dan Trejo
11160,Daniel Trejo
9290,Henrietta Collins
886,Bill Fichtner
886,William Edward Fichtner
86602,Jerry Trimble Jr.
86602,Jerry Foster Trimble
3982,Alexander Harper Berkeley
3982,Xander Berkely
3982,Xander Berkley
181343,Begonia Plaza
181343,Begona Plaza
181343,Begoña Plaza
43010,Thomas Rosales
43010,Tommy Rosales
43010,Tom Rosales
37252,Yvonne Marie Zima
1457709,Michael Gould
1576419,Kenny Endosa
1576419,Kenneth Endoso
1576419,Ken Endoso
1576419,Ken Mendoso
20625,Robert Guy Miranda
1502517,Manny Perri
1502517,Manual Perry
1502517,Manuel Perry
1502517,Many Perry
114625,Iva Singer
114625,Iva Franks-Singer
114625,Iva Franks
1926100,Pip
4110,Humphrey DeForest Bogart
4110,Bogie
4110,Хамфри Богарт
1932,Одри Кэтлин Растон
1932,Edda van Heemstra
1932,Audrey Kathleen Ruston
1932,Одри Хепбёрн
1932,Одри Хепберн
1932,Одрі Гепберн
1932,Одрі Хепберн
8252,Уильям Холден
50833,Walter Hampden Dougherty
4121,Israel Moshe Blauschild
4121,Marcel Benoît Blauschild
4121,Dalio
50837,King of the Movies
5738,Ellen Hansen
5737,Raymond Thomas Bailey
34187,Charles 'Chuck' Hamilton
34187,Charles Hamilton
34187,Charles Hamilton Pracht
1216356,Major Sam Harris
1216356,Samuel Harris
10610,Grigory Vasilyevich Ratner
34008,Charles Emmet Vogan
34008,Emmet Vogan
38581,Rachael Gillies
38581,Rachel Leigh Cook
8316,Micheal McShane
15111,"""The Muscles from Brussels"""
15111,"""Van Damme"""
15111,"""JCVD"""
15111,"""Jean-Claude"""
15111,"""Jean-Claude Van Varenbergh """
6280,Powers Allen Boothe
10361,Raymond Barry
10361,Ray Barry
517,Пірс Броснан
517,Пирс Броснан
48,Shaun Mark Bean
10696,Famke Beumer Janssen
5309,Джуди Денч
1923,Charlie McManus
10697,Alan Cummings
10698,Tcheky Karyo
10700,‎Серена Гордон
27425,Constantin de Goguel
6613,Amelia Fiona J. Driver
41742,Равиль Ахмедуллович Исьянов
41742,Ravil Akhmedullovich Isyanov
41742,Равиль Исьянов
176132,Ziggy Byfield
176132,Zig Byfield
176132,Trevor Mills Byfield
176132,"Trevor Mills ""Zig"" Byfield"
3392,M.K. Douglas
3392,Майкл Дуглас
521,Michael Andrew Fox
521,Michael Fox
521,Mike Fox
19839,David Charles Paymer
42133,Nina Siemazko
61980,Wendy Malick
131642,Josh Malina
43115,Clement Franckenstein
43115,Clement St. George
43115,Clem St. George
43115,Clement von Franchenstein
43115,Clement von Frankenstein
43115,Clement George Freiherr von und zu Franckenstein
14639,Melvin James Kaminsky
1219,Amy Marie Yasbeck
6106,Steven R. Weber
53570,Megan Cavanaugh
53570,Megan Cavenagh
170185,Gregg Alex
170185,Greg Binkley
20128,Clive Revel
88450,Jack Frost
88450,Jackie McCann
1235999,Leslie S. Sachs
4724,Kevin Norwood Bacon
4724,كيفين بيكن
4724,케빈 베이컨
4724,ケヴィン・ベーコン
4724,เควิน เบคอน
4724,凯文·贝肯
4724,Кевин Бейкон
12077,James Jonah Cummings
12077,Jim Jonah Cumkings
12077,Jim Cumming
12077,J. Jonah Cummings
12077,James J. Cummings
12077,James Cummings
12077,Jim J. Cummings
12077,Jim Jonah Cummings
12077,Jimmy Cummings
12077,Grey Griffin
176254,Sandy Dickinson
176254,Sandra Searles Dickinson
176254,Sandra Dickenson
4173,Philip Anthony Hopkins
4173,Энтони Хопкинс
4173,أنتوني هوبكنز
4173,앤서니 홉킨스
4173,アンソニー・ホプキンス
4173,แอนโทนี ฮ็อปกินส์
4173,安東尼·霍普金斯
228,艾德·哈里斯
228,Эд Харрис
228,エド・ハリス
228,เอ็ด แฮร์ริส
228,에드 해리스
228,إد هاريس
56687,Fyvish Finkle
20751,Bridgette L. Wilson
20751,Bridgette Wilson-Sampras
19453,RalphThomas Bower
15183,Anthony Greco
15183,Tony LoBianco
167561,John Waldo Cunningham
167561,John F. Cunningham
11885,John McGinley
19654,Michael Charles Chiklis
230280,Boris Sichkin
230280,Борис Сичкин
6407,Marlee Shelton
8979,P.G. Duggan
8979,Patrick Gerald Duggan
16937,Rex Maynard Linn
16937,Rex M. Linn
16937,Rex Lynn
1495190,Dickie Beer
1495190,Dicky Beer
1495190,Dick Beer
1495190,Dirk Yohan Beer
1495190,Dickey Beers
19704,Nick Barlett
64102,Chris Adamson
4430,Sahron Stone
4517,Joseph Frank Pesci
4517,Џо Пеши
11483,Catherine Cappa
99906,Joe Bob Briggs
14332,Phillip Suriano
14332,Phil Suriano
1574239,William Allison
7531,Joseph Reidy
7531,Joe Reidy
42824,Carl N. Ciarfalio
42824,Carl Nick Ciafalio
42824,Carl Nick Ciarfalio
42824,Carl Ciarfallio
42824,Carl Ciarfallo
42824,Carl Ciarflio
42824,Carl Ciarfolio
42824,Carl Ciartalio
4692,Frankie Adonis
4692,Frank Martin
4692,Frank Scioscia
1183497,Stuart Nesbit
1183497,Stu Nisbet
1183497,Stuart Nisbett
1183497,Stu Nisbett
1183497,Stuart Nissbet
4566,ألان ريكمان
4566,앨런 릭먼
4566,Алан Рикман
4566,アラン・リックマン
4566,แอลัน ริกแมน
4566,艾倫·瑞克曼
23076,Тимоти Сидни Роберт Харди
23076,Роберт Харди
31923,Oliver Ford Davis
31923,Oliver Robert Ford Davies
1220119,Elizabeth Jean Williams
1220119,Elisabeth Spriggs
3129,Τιμ Ροθ
3131,José Antonio Domínguez Banderas
3131,Antonio Bandares
3131,Антонио Бандерас
3131,อันโตเนียว บันเดรัส
3131,安东尼奥·班德拉斯
3131,アントニオ・バンデラス
3131,안토니오 반데라스
3131,أنتونيو بانديراس
3125,Madonna Louise Ciccone
3125,Madonna Louise Veronica Ciccone
62,Брюс Уиллис
62,ブルース・ウィリス
62,بروس ويليس
62,브루스 윌리스
62,บรูซ วิลลิส
62,布鲁斯·威利斯
138,Quentin Jerome Tarantino
138,Квентин Тарантино
138,كوينتن تارانتينو
138,昆汀·塔伦蒂诺
138,เควนติน แทแรนติโน
138,クエンティン・タランティーノ
138,쿠엔틴 타란티노
138,Квентін Тарантіно
3122,Samantha Davies
3122,Samantha Davis
3122,Sammi Davis-Voss
3134,Tamlyn Naomi Tomita
3137,Paul Calderone
3133,Patricia Vonne Rodriguez
3133,Patricia Rodriguez
206,Джим Керри
206,占·基利
206,จิม แคร์รีย์
206,ジム・キャリー
206,جيم كاري
206,짐 캐리
57755,Woodrow Tracy Harrelson
57755,وودي هارلسون
57755,ウディ・ハレルソン
57755,Вуди Харрельсон
