movie_id,language_id
8844,en
8844,fr
31357,en
11862,en
949,en
949,es
45325,en
45325,de
9091,en
710,en
710,ru
710,es
9087,en
12110,en
12110,de
21032,en
10858,en
1408,en
1408,la
524,en
4584,en
5,en
9273,en
11517,en
8012,en
1710,en
1710,de
22832,en
12665,en
451,en
9263,en
17015,en
902,cn
902,fr
37557,zh
9909,en
63,en
63,fr
78802,en
47018,en
687,en
139405,ru
139405,en
33689,en
9603,es
9603,en
34615,en
11443,en
35196,en
35196,es
9312,en
11861,en
10530,en
8391,en
11448,en
49133,sq
49133,it
26441,en
26441,de
124057,en
9089,en
11010,it
11010,es
99040,en
99040,fr
11359,en
2054,en
19760,en
9536,en
9536,ru
11525,en
11525,hu
40628,en
4482,fr
4482,es
10634,en
11859,en
11859,es
20927,en
36929,en
9102,en
124626,de
124626,en
27526,en
9623,en
46785,fa
400,en
880,nl
146599,en
8447,en
10534,da
10534,en
10534,fr
10534,de
17414,en
17414,fr
17414,ru
2086,en
61548,en
9095,en
12158,en
9283,en
9208,en
40154,en
406,fr
288779,en
63076,en
11062,en
13685,es
13685,en
47475,en
2045,en
9614,en
11907,de
10874,en
197,en
197,fr
197,la
197,gd
33542,cn
33542,en
43566,en
43566,fr
43566,de
71754,en
43612,fr
51352,en
16934,en
10324,en
78406,en
55731,en
32119,en
32119,fr
11104,cn
11104,en
11104,ja
11104,zh
37975,it
110972,en
73067,en
124636,en
9101,en
123360,en
9302,en
11000,en
11000,fr
249882,en
249882,hr
249882,bs
16388,en
30765,de
10474,en
22279,en
568,en
11780,en
414,en
649,fr
649,mn
649,es
1873,en
5894,en
1775,en
8839,en
20649,en
10329,en
10329,fr
26564,en
8068,en
8512,en
1572,en
1572,de
1572,ro
13552,en
259209,en
9073,en
9073,id
9073,ms
10428,en
10428,it
10428,ja
10428,ru
17447,en
17447,fr
9886,en
9886,ja
9482,en
19326,en
9344,en
9071,en
8973,en
15730,en
47608,en
2293,en
9070,en
68274,en
48787,ru
48787,en
34574,de
34574,en
1642,en
1642,es
11472,en
11472,ru
36196,en
11980,en
28007,en
10802,en
10149,en
18402,en
9348,en
139408,hu
139408,en
281,en
5967,fr
79593,en
47939,en
36834,en
9090,en
9090,es
3512,en
52856,en
77350,en
9560,en
9804,en
9804,de
9804,es
31611,en
65796,cn
65796,en
39946,en
26258,en
26258,de
50797,ru
19155,sq
19155,en
19155,mk
76,en
76,de
76,fr
11017,fr
11017,es
11017,en
13078,en
9382,en
18256,en
18256,it
18256,sv
22625,en
2292,en
1909,en
8984,en
4954,en
62488,en
10531,en
11929,cs
11929,en
8467,en
10451,zh
20156,en
20156,he
18395,en
522,en
397,fr
397,en
10525,en
27985,en
15789,en
27303,en
21183,en
10954,fr
43475,en
72031,en
14275,en
17207,en
17207,ru
13701,it
13701,en
13701,de
14819,en
11777,en
11777,de
87729,en
18713,en
6280,en
9061,en
37108,en
11,en
49980,en
17961,fr
18183,en
18183,es
4476,kw
4476,en
11008,en
11008,es
47504,en
32325,en
32325,es
28313,en
11318,en
8986,en
17402,en
17402,hu
38722,en
38722,es
8438,en
1945,en
39310,en
39310,de
109560,en
109560,cn
56428,en
63105,en
131957,en
9058,en
527,en
527,mi
18220,en
6950,en
6950,ko
6950,fr
63020,en
2307,en
680,en
680,es
680,fr
15159,en
25296,en
25296,zh
40156,en
11450,en
30304,tl
30304,en
30304,ja
10452,fr
10452,it
12106,en
161495,en
3586,fr
3586,it
3586,ru
3586,es
3586,en
108,fr
108,pl
109,fr
109,hu
109,pl
159185,zh
36357,en
28033,en
22586,en
14334,en
14334,ga
2636,en
2164,en
2164,no
2164,sv
278,en
9905,en
87078,en
12527,es
20306,en
36614,en
27993,en
27993,de
31439,zh
9059,en
193,en
25066,en
46797,en
11381,en
32636,en
36141,en
1587,en
9271,en
2064,en
60855,cn
60855,en
236,en
48287,en
3049,en
2759,en
12635,hu
12635,de
12635,en
12635,fr
12635,ru
10497,fr
10497,en
11382,en
9331,en
10731,en
10464,en
10464,fr
34152,en
9495,en
29973,en
888,en
13,en
712,en
16295,en
48992,en
48992,es
10879,en
10660,en
41647,de
8587,en
1689,en
11596,en
9359,en
23333,en
36593,en
12280,en
2788,en
10427,en
11011,en
11011,la
49803,en
8987,en
1637,en
15128,en
8831,en
36955,en
36955,fr
36955,ar
36955,de
10449,en
10449,fr
10449,vi
10395,en
12160,en
52038,en
29444,en
26352,en
41580,fr
315,en
22067,en
18242,en
11667,en
11667,ja
28732,en
19661,en
8011,en
2654,en
18069,en
18069,fr
19092,en
2758,en
10436,en
10436,it
13595,en
46094,en
9409,en
11853,es
11853,en
11041,en
306,en
178,en
19819,en
57834,en
57834,fr
18215,en
1607,en
1607,it
26391,en
6075,en
6075,es
11310,en
11310,it
11310,ru
18658,en
9350,en
9612,en
2124,cs
2124,en
26261,en
26261,hu
19176,en
11566,es
11566,en
9571,en
9739,en
24257,en
34444,en
34444,de
26141,en
26141,yi
10997,zh
50463,en
20239,en
16297,en
18551,en
25440,en
9024,en
37233,en
1634,en
13815,en
35588,en
18620,en
41006,en
4916,en
2019,en
31642,en
31642,vi
9255,en
26271,en
10612,en
2259,es
2259,en
16097,en
11934,en
106143,en
12475,en
9386,en
7984,en
59930,en
15765,en
31643,en
31643,fr
6,en
329,en
329,es
10909,en
507,en
507,fr
34024,en
9593,en
42580,en
22317,en
22317,de
12121,en
2246,en
10502,en
10440,en
9516,en
2320,en
5879,ja
83718,en
11971,en
2625,en
31911,en
788,en
21450,en
11231,en
41588,en
10447,en
31586,en
9300,en
9559,en
9800,en
713,en
713,mi
8291,en
18133,en
25557,en
22588,en
10872,en
1245,en
11858,en
11858,es
7007,ja
7007,en
10467,en
5550,en
5550,ja
8005,en
2088,en
10412,pt
10412,de
10412,en
10412,ja
10412,vi
47889,en
14534,en
14534,es
56583,en
41878,fr
41878,de
41878,es
424,de
424,pl
424,he
424,en
14291,en
11236,en
11592,en
10445,en
695,en
43535,en
28795,ja
23210,en
858,en
867,en
78,en
78,de
78,cn
78,ja
78,hu
13203,en
10442,ru
10442,en
11074,en
47953,fr
47953,it
47953,tr
9607,en
17585,en
9057,en
20967,fr
20967,en
10635,en
9479,en
11969,en
11969,la
11969,es
319,en
319,it
15139,da
15139,en
15139,fr
15139,de
15139,es
11446,en
51980,fr
13855,ko
11655,en
11655,es
11800,en
8223,es
14587,en
14587,hi
31504,en
41653,sv
53185,en
95743,en
23637,it
17600,en
10897,en
21352,en
68806,it
37345,en
32562,en
47507,fr
25403,ar
25403,en
25403,it
25403,zh
9066,en
9066,de
9066,hu
9066,it
771,en
251,en
812,en
280,en
280,es
80350,en
274,en
408,en
10020,fr
10020,en
114,en
114,it
114,ja
41043,fr
41043,ru
576,en
576,de
576,es
15477,en
30528,en
7300,en
10824,en
275,en
11827,en
11827,hu
8766,en
23570,en
14607,en
51242,it
10112,en
4307,es
46029,en
88893,it
88893,en
52873,fr
123505,en
340210,en
44281,ar
28121,en
12520,en
1592,en
1592,es
36447,en
19042,en
38884,ca
38884,en
38884,es
47449,en
36259,en
41852,en
27550,sv
9099,en
2021,en
61752,en
10988,en
11479,fr
12652,fr
68445,de
68445,is
68445,ja
68445,en
18989,en
10801,de
54285,ko
8840,en
124625,en
124625,de
10363,en
10363,fr
10363,it
10539,en
10543,en
18414,en
47502,en
11902,en
11902,fr
11902,de
11902,ru
11902,sr
