id,company_name
16554,Nasser Entertainment Group
6100,Achte Babelsberg Film
1252,Xian Motion Picture Company
31060,Hallmark Entertainment
18218,Malofilm Communications Inc.
30833,Visual Arts Entertainment
3534,Goodspeed Productions
5388,Sony Pictures Home Entertainment
33808,SGF Entertainment
11106,Marvel Knights
10173,Exodus Productions
10156,Affirm Films
3290,Carmel Entertainment
2795,Ott Medien
5218,Imprint Entertainment
3285,Christopher Filmcapital
3283,ACH
2954,Sky TV
27099,Ministry of Culture and Tourism
11435,Sofica UGC 1
51995,Snapper Films Oy
21938,Copag V
4640,Akita Publishing
11774,Bankable
14688,Alicia Produce
3154,Bronson Club
10617,Bosna Film
11549,Cinema Investment
11548,BNDES
11547,Ancine
6739,RHI
4161,NS Pictures
4160,Lost Tales Films
25191,Legendary Films Inc.
22791,Andale Pictures
3922,A. Film
2718,Stella-del-Süd
1785,Likely Story
12020,Superfinger Entertainment
4220,Management 360
2727,Global Entertainment Group
2726,Emperor Motion Pictures
2599,Blue Askew
2725,Foxtor Productions
18188,Magnolia Mae Films
1245,Télévision Suisse-Romande
9998,Umbrella-Rosenblum Film Production
6159,Helsinki Filmi Oy
2696,Mogador Film
80636,Mosfilm Children's Film Unit
7409,Edgey Productions
7408,CD Films
1394,Black Forest Films
1273,Ceneca Producciones
21543,Nu-Image Films
40159,Good Times Films S.A.
704,Initial Entertainment Group
83902,Accord Productions
7376,Continental Entertainment Group (CEG)
5627,Media Magik Entertainment
11260,Babylon Films Limited
1778,Dentsu Inc.
75540,Capitolium
10160,Illuminata Pictures
3576,EFTI
17932,Razor Film Produktion
6819,Paradox Entertainment
863,Mantarraya Producciones
10624,Takarazaka Productions
6538,Antena 3 Films
9122,Cohen Media Group
50510,BBC Storyville
12840,Red Box Films
11558,Brideshead Films
11341,Stage 6 Films
5347,Magla Productions
19148,A Lucky Old Sun Production
10989,Muskat Filmed Properties
57749,MGM Global Holdings
57748,Kawoosh! Productions DTV II
81139,Vanguard Animation
2659,Starz Media
12371,Filmax Group
12370,Filmax International
2064,Lietuvos Kinostudija
10005,Balthazar Productions
4647,Fever Dreams
81136,Friendly Films (II)
11240,Polski Instytut Sztuki Filmowej
10826,Akson Studio
5173,Warner Bros. Home Video
34441,Littlestar
59972,IDEA Filmproduktions
84476,Russian Federation of Cinematography
30231,Rézo Productions
15479,Scream HQ
3912,Larande Productions
70582,Sogedis
40578,Georges Reinhart Productions
26193,Les Films Plain Chant
12997,Limbo Film AG
14070,Cinema Artists
4995,International Pictures (I)
2454,Goldsmith-Thomas Productions
57028,MJ Films
50491,Capacity Pictures
14619,Armenfilm Studios
18075,Oregon Public Broadcasting
41756,GH Three
2526,Kickstart Productions
86061,Cheerland Entertainment Organization
1974,Duplass Brothers Productions
25121,MVL Incredible Productions
2320,UTV Motion Pictures
3571,Prodigy Pictures
1509,Tesela Producciones Cinematográficas
26261,Film Commission Torino-Piemonte
26260,Ministero per i Beni e le Attività Culturali
36201,Tiger Aspect Pictures
2731,Intandem Films
11130,Royal Oaks Entertainment Inc.
3120,Final Cut Productions
3951,Warrior Poets
14712,Occupant Films
2207,Montfort Producciones
1694,Darren Star Productions
4007,Phenomena
4102,Clean Socks
11440,Ozumi Films
48752,Bella Productions
7075,Metanoia Films
5294,Mpower Pictures
4916,Penn Station Entertainment
11151,Deep Films
80523,Mauser Productions
11150,Googly Films
3586,Absolute Entertainment
6877,Grive Productions
420,Marvel Studios
8987,Bayerischer Banken-Fonds
2736,Premise Media Corporation
3390,Vienna Film Financing Fund
4307,Rifkin-Eberts
6164,Exeter Associates
3836,LadobleA
7949,Chris Sievernich Filmproduktion
2264,Concert Promotion International
59969,GEM Global Entertainment Magyar
59967,Chesterfield Writer's Film Project
28265,Arthur Lewis Productions
20748,Visitor Pictures
4205,Groundswell Productions
3612,Sherazade Film Development
89637,Potomac Pictures
4887,Fox Filmes do Brasil
11843,Goldcrest Pictures
11996,Andreevsky Flag Film Company
2169,Magnolia Filmproduktion
37774,Skyline (Baker St)
2644,Benedek Films
2740,Jigsaw Productions
21435,Parkwood Entertainment
2246,Material Entertainment
2245,Entertainment Films
2648,Road Rebel
5122,Parallel Films
31604,Art In Motion
6555,Polish Film Institute
2230,MGM Television
2151,Fugitive Films
78994,Ministère Libanais de la Culture
2283,Sunnyland
2281,Les Films de Beyrouth
92137,Dead Fiancée Productions
3251,Pelican Productions LLC
57498,Canada Television and Cable Production Fund License Program (CTCPF)
23486,Sienna Films
12116,Shaw Rocket Fund
11551,Movie Central Network
2397,Cohen/Pearl Productions
20363,Equity Pictures Medienfonds GmbH & Co. KG IV
3025,Brandman Productions
12541,Q-Tec
12540,Memory Tech
52046,verture Films
11776,Film Fund Luxembourg
1873,Sophie Dulac Productions
1872,Bleiberg Entertainment
6332,Dune Entertainment III
7534,R&D TV
3585,David Eick Productions
8801,Marshall Production
20012,Sparkler Entertainment
19097,Junction Entertainment
34997,Templar Films
10138,Double Nickel Entertainment
2584,Fillmore
2583,Two Roads Entertainment
2582,Et Cetera Films
11568,Butterfly Productions
90012,Golden Horse Productions
212,Infinity Features Entertainment
29031,Kite Runner Holdings
11392,Ebeling Group
22884,The Film Farm
52005,Picturehouse
11651,Rodar y Rodar Cine y Televisión
2674,Telecinco Cinema
2361,Ad Hominem Enterprises
17594,John Goldwyn Productions
7416,Film & Entertainment VIP Medienfonds 4 GmbH & Co. KG (I)
2506,Dreamachine
11747,Prime Universe Productions
11746,Daybreak Productions
3314,Crescendo Productions
87783,Eden Roc Productions
2053,Grosvenor Park Media Ltd.
66078,Gang of Two Productions
11576,Ontario Media Development Corporation (OMDC)
21911,Brat Na Pont Productions
2741,Falling Sky Entertainment
56584,Eurimages Council of Europe
2928,Style Jam
11433,C.R.R.A.V. Nord Pas de Calais
8083,Film Rites
23104,King of California Productions
93178,Caos Produções Cinematográficas
29891,Miravista Films
4243,Gullane Filmes
47046,Universal Pictures do Brasil
2430,Estúdios Mega
55440,Insomnia Media Group
75412,Kulturelle Filmförderung Schleswig-Holstein
14938,Zik Zak Kvikmyndir
1918,NorthSee
1916,Claraflora
1915,Becker International
62546,2.4.7. Films
791,IPSO Facto Films
2543,Volume One Entertainment
10040,Level 1 Entertainment
19731,Lars Productions
4575,Vivendi Entertainment
22881,Mayhem Pictures
41051,Into the Wild
864,No Dream Cinema
95345,Chuck Productions
95344,Alberta Film Development Program of the Alberta Government
95343,Milestone Entertainment
58249,Resident Evil Productions
95290,Academy Film
2412,Column Productions
2054,Ruby Films
3751,red bone
10444,Imamura Productions
20244,Kudos Film and Television
34999,Bauer Martinez Studios
3587,I Could Never Ltd.
2088,NALA Films
859,Saga Film
10880,Yuma
4385,Good Night Productions
4384,Tempesta Films
764,Polaris Film Productions & Finance
702,3L Filmproduktion GmbH
13817,Brass Hat Films
2988,Voice Pictures
23956,Rogue Films
