id,language
et,Eesti
sa,
my,
tt,
tg,
bg,български език
to,
cr,
pa,ਪੰਜਾਬੀ
oc,
ku,
bm,Bamanankan
ln,
so,Somali
lt,Lietuvikai
xh,
ty,
am,
mt,Malti
nv,
sh,
as,
af,Afrikaans
cy,Cymraeg
ka,ქართული
iu,
gn,
sk,Slovenčina
gl,Galego
uk,Український
eo,Esperanto
fi,suomi
ne,
el,ελληνικά
ms,Bahasa melayu
bn,বাংলা
si,
lv,Latviešu
id,Bahasa indonesia
nb,Bokmål
en,English
be,беларуская мова
hr,Hrvatski
da,Dansk
ro,Română
th,ภาษาไทย
bs,Bosanski
hi,हिन्दी
is,Íslenska
gd,
cn,广州话 / 廣州話
sv,svenska
pt,Português
de,Deutsch
ru,Pусский
ce,
bo,
mn,
xx,No Language
sq,shqip
fa,فارسی
kk,қазақ
dz,
es,Español
ja,日本語
fr,Français
zh,普通话
qu,
hy,
la,Latin
it,Italiano
mk,
cs,Český
he,עִבְרִית
hu,Magyar
mi,
km,
vi,Tiếng Việt
lo,
yi,
ur,اردو
nl,Nederlands
ko,한국어/조선말
ps,پښتو
kw,
tl,
ga,Gaeilge
az,Azərbaycan
no,Norsk
zu,isiZulu
ar,العربية
tr,Türkçe
ca,Català
pl,Polski
sr,Srpski
sw,Kiswahili
